Number of training images processed: 87000
createTrainData finished. Returning x and y now.
createTestData finished. Returning x and y test lists now.
Training epoch: 500, Loss: 644.354736, Accuracy: 0.276000
Training epoch: 1000, Loss: 577.300049, Accuracy: 0.320000
Training epoch: 1500, Loss: 469.314545, Accuracy: 0.440000
Training epoch: 2000, Loss: 401.179840, Accuracy: 0.560000
Training epoch: 2500, Loss: 388.083130, Accuracy: 0.560000
Training epoch: 3000, Loss: 302.053131, Accuracy: 0.668000
Training epoch: 3500, Loss: 319.032501, Accuracy: 0.632000
Training epoch: 4000, Loss: 305.329224, Accuracy: 0.640000
Training epoch: 4500, Loss: 270.316132, Accuracy: 0.696000
Training epoch: 5000, Loss: 214.054276, Accuracy: 0.744000
Test Accuracy: 0.892857
